nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
MANUTAN INTERNATIONAL,0,40,C+,25,2,2,2,28,18,14,Non,H,74,66 - 75,Oui,6,-16.80598423,-2.159606707,-0.916887538,-59.10142759,-1.773921201,2.805970149,1.833688699,18.01587368,18.72931974,9.729390977,16.28776012,-2.130997054,2.255909605
MERCIALYS,0,21,B+,55,1,1,0,55,32,32,Oui,H,60,56 - 65,Non,2,-11.33998423,-1.347606707,-0.919887538,-98.69142759,-0.773921201,1.805970149,0.833688699,16.38987368,19.03831974,6.388390977,17.20276012,-2.130997054,35.7839096
MILLET INNOVATION,0,2,D,3,2,2,2,22,20,11,Non,F,48,46 - 55,Non,3,-13.65898423,0.034393293,0.539112462,-101.7804276,-0.773921201,2.805970149,1.833688699,32.34887368,36.80531974,21.79839098,27.70476012,-2.130997054,13.0839096
NEOPOST SA,0,179,A+,98,7,7,0,55,47,20,Non,H,61,56 - 65,Non,5,-20.77698423,-2.315606707,-1.238887538,-75.88642759,0.226078799,-3.194029851,-4.166311301,15.72187368,19.42931974,6.971390977,15.47776012,2.357002946,8.363909605
NETGEM,0,6,A+,16,1,1,0,27,19,17,Non,H,61,56 - 65,Oui,4,-14.29998423,-1.844606707,-0.758887538,-107.5254276,-0.773921201,1.805970149,2.833688699,23.40487368,24.03231974,12.55939098,19.12676012,5.743002946,7.694909605
NEURONES,0,50,D,28,1,1,1,12,9,7,Non,H,65,56 - 65,Non,5,-8.105984234,-0.970606707,-0.198887538,-99.00442759,-0.773921201,2.805970149,2.833688699,26.15787368,24.95831974,13.37039098,19.24476012,-2.130997054,5.158909605
NEXITY,0,965,A+,52,0,0,0,67,29,53,Non,H,69,66 - 75,Oui,13,-10.58398423,-1.714606707,-1.140887538,-79.75542759,0.226078799,-2.194029851,-2.166311301,18.61887368,20.87531974,6.200390977,15.91876012,-2.130997054,3.167909605
NSC GROUPE,0,20,D,4,6,6,0,23,17,7,Non,H,63,56 - 65,Non,11,85.64701577,-2.567606707,-1.241887538,5.169572413,-1.773921201,1.805970149,0.833688699,9.046873684,7.260319737,2.333390977,9.90776012,-2.779997054,-3.972090395
OENEO,0,31,D,40,7,7,1,30,24,14,Oui,H,71,66 - 75,Non,37,-8.978984234,-0.740606707,-0.324887538,-105.4094276,1.226078799,0.805970149,0.833688699,19.10987368,23.43331974,10.57239098,17.10276012,-2.130997054,10.2829096
ORANGE,0,599,A+,83,0,0,0,99,32,85,Oui,H,59,56 - 65,Non,81,-14.07198423,-2.108606707,-1.202887538,-96.11742759,-1.773921201,-3.194029851,-4.166311301,12.82487368,11.48731974,3.623390977,15.55476012,-2.130997054,-0.342090395
PARIS REALTY FUND,0,1225,D,11,6,6,1,29,13,19,Non,H,45,36 - 45,Non,132,-21.31198423,-2.467606707,-1.174887538,-30.89042759,-1.773921201,2.805970149,2.833688699,15.71087368,16.17431974,7.287390977,17.60676012,-2.130997054,30.3359096
PHARMAGEST INTERACTIVE,0,32,D,31,0,0,0,37,30,16,Non,H,61,56 - 65,Non,15,-6.612984234,1.872393293,1.914112462,-102.0094276,-1.773921201,1.805970149,1.833688699,36.48087368,37.48831974,23.29739098,27.09076012,-2.130997054,20.5739096
PISCINES DESJOYAUX SA,0,26,D,10,2,2,2,13,6,9,Non,H,67,66 - 75,Oui,23,-13.74598423,-1.860606707,-0.778887538,-102.1894276,-0.773921201,2.805970149,4.833688699,16.95287368,17.72031974,8.650390977,15.48576012,-1.611997054,3.562909605
PLASTIQUES DU VAL DE LOIRE,0,39,B+,23,1,1,1,22,20,6,Non,H,72,66 - 75,Non,32,-21.25698423,-1.865606707,-1.041887538,-99.11942759,2.226078799,1.805970149,0.833688699,22.68087368,26.85531974,10.18439098,21.00176012,-2.130997054,2.941909605
POUJOULAT,0,27,C+,10,4,4,2,30,21,21,Non,H,46,46 - 55,Non,13,92.67801577,-2.306606707,-1.188887538,-67.22642759,-0.773921201,0.805970149,0.833688699,8.975873684,7.212319737,2.204390977,10.03576012,-2.130997054,-4.292090395
PSB INDUSTRIES,0,35,B+,25,4,4,2,33,23,12,Non,H,48,46 - 55,Oui,19,-15.79498423,-1.875606707,-1.078887538,-71.91742759,1.226078799,-1.194029851,-1.166311301,17.11287368,21.36231974,7.580390977,16.02976012,-1.131997054,0.716909605
RALLYE,0,1590,D,24,1,1,1,28,23,16,Oui,H,71,66 - 75,Non,11,-27.18698423,-3.172606707,-1.583887538,149.8475724,-1.773921201,-3.194029851,-4.166311301,18.59487368,22.98831974,6.598390977,16.23976012,-2.130997054,0.096909605
REALITES,0,49,D,7,2,1,1,16,11,9,Non,H,45,36 - 45,Non,10,-20.98798423,-2.699606707,-1.460887538,-92.34242759,3.226078799,-0.194029851,-0.166311301,13.65087368,15.09331974,4.091390977,13.79376012,-2.130997054,-0.241090395
REMY COINTREAU,0,50,C+,56,5,5,1,61,48,30,Non,H,68,66 - 75,Non,13,-7.771984234,0.186393293,0.227112462,-82.08342759,-0.773921201,0.805970149,-0.166311301,19.30487368,20.63531974,9.473390977,20.65476012,-2.130997054,11.7219096
ROBERTET SA,0,39,D,29,5,5,4,34,29,16,Non,H,68,66 - 75,Non,17,-13.19398423,-1.072606707,-0.262887538,52.39157241,-1.773921201,2.805970149,3.833688699,22.07687368,23.69331974,12.58939098,18.72376012,-2.130997054,8.246909605
RUBIS,0,132,A+,65,0,0,0,36,29,18,Oui,H,68,66 - 75,Non,6,-12.14198423,-1.451606707,-0.646887538,-86.98942759,-2.773921201,0.805970149,0.833688699,17.35287368,20.79431974,9.568390977,15.92576012,-2.130997054,4.950909605
SA ESKER,0,16,A+,44,1,1,0,23,20,13,Non,H,52,46 - 55,Oui,3,3.116015766,3.781393293,1.830112462,-102.4634276,-0.773921201,-1.194029851,-0.166311301,28.94087368,32.71331974,14.72339098,23.60776012,12.45200295,8.940909605
SA TIPIAK,0,9,B,6,2,2,2,21,12,11,Non,H,72,66 - 75,Oui,3,-14.35798423,-1.799606707,-1.154887538,-53.62542759,0.226078799,-1.194029851,-1.166311301,15.59987368,20.75831974,6.278390977,14.47376012,-2.130997054,-0.992090395
SAINT JEAN GROUPE,0,9,A+,12,3,3,0,14,10,11,Non,H,76,> 75,Non,5,8.120015766,-2.298606707,-1.002887538,-90.22042759,-0.773921201,2.805970149,2.833688699,9.507873684,8.738319737,3.390390977,10.56276012,-2.130997054,-2.190090395
SAMSE,0,79,D,10,7,7,6,24,11,20,Non,H,61,56 - 65,Non,2,-14.50298423,-2.041606707,-1.045887538,12.57557241,-1.773921201,1.805970149,2.833688699,16.26487368,17.74531974,7.119390977,15.15976012,-2.130997054,-0.733090395
SANOFI,0,376,A+,104,0,0,0,93,69,53,Oui,H,69,66 - 75,Non,211,-8.392984234,-1.523606707,-0.656887538,-64.12242759,-0.773921201,-3.194029851,-3.166311301,14.97587368,17.11131974,7.782390977,14.41676012,11.48600295,11.9899096
SARTORIUS STEDIM BIOTECH,0,114,D,28,2,1,2,30,15,20,Oui,H,55,46 - 55,Non,37,7.924015766,3.996393293,3.018112462,-100.5574276,-2.773921201,1.805970149,-1.166311301,32.16887368,34.00431974,19.52539098,26.96276012,2.357002946,15.3799096
SAVENCIA SA,0,155,D,17,0,0,0,39,29,20,Non,H,68,66 - 75,Non,50,-19.51398423,-2.554606707,-1.320887538,-11.80542759,-1.773921201,0.805970149,-0.166311301,17.87487368,17.83431974,6.537390977,16.05076012,-2.130997054,-1.420090395
SCHNEIDER ELECTRIC SE,0,1124,A+,96,0,0,0,74,49,42,Oui,H,57,56 - 65,Non,521,-8.853984234,-1.346606707,-0.668887538,-73.98342759,-0.773921201,-3.194029851,-4.166311301,16.51787368,18.16231974,7.662390977,15.49576012,1.883002946,5.313909605
SEB SA,0,200,A+,55,0,0,0,63,33,40,Non,H,65,56 - 65,Non,3,-6.861984234,0.274393293,-0.605887538,-72.24042759,-1.773921201,-3.194029851,-4.166311301,17.88487368,26.16831974,7.409390977,16.39876012,-0.286997054,2.637909605
SECHE ENVIRONNEMENT,0,94,D,23,3,3,1,35,19,20,Oui,H,65,56 - 65,Oui,16,30.38401577,-2.294606707,-1.316887538,-78.32642759,-1.773921201,-3.194029851,-4.166311301,11.93787368,12.55531974,3.672390977,11.16476012,-2.130997054,-1.544090395
SELECTIRENTE,0,102,C+,27,5,2,3,34,15,25,Non,H,47,46 - 55,Non,6,0.367015766,-1.714606707,-1.012887538,-60.69942759,-1.773921201,0.805970149,0.833688699,11.32187368,11.20731974,3.688390977,12.59976012,-2.130997054,16.1509096
SERGEFERRARI GROUP,0,27,D,21,6,2,2,21,17,12,Oui,H,61,56 - 65,Oui,19,6.917015766,-1.690606707,-0.759887538,-101.3414276,-0.773921201,2.805970149,1.833688699,13.45587368,13.71531974,5.851390977,12.58076012,2.429002946,-0.323090395
SOC D EXPLOSIFS PRODUITS CHIMIQUES,0,77,D,8,8,3,5,21,10,15,Non,H,54,46 - 55,Non,26,-22.05198423,-2.102606707,-1.218887538,495.9875724,-1.773921201,-1.194029851,-1.166311301,17.88887368,19.49031974,6.248390977,17.32876012,-1.353997054,-0.403090395
SOCIETE BIC,0,141,C+,65,1,1,1,48,28,28,Oui,H,62,56 - 65,Non,64,-2.446984234,0.182393293,0.781112462,-71.14242759,-2.773921201,2.805970149,2.833688699,24.16987368,25.87331974,15.48039098,20.59276012,-0.576997054,10.8249096
SOCIETE INDUSTRIELLE ET FINANCIERE DE L ARTOIS,0,1999,B+,8,1,1,1,35,31,8,Non,H,74,66 - 75,Non,250,95.38001577,-2.466606707,-0.898887538,5267.252572,-2.773921201,3.805970149,5.833688699,7.931873684,6.560319737,2.124390977,9.44176012,5.684002946,-0.631090395
SOCIETE L D C,0,102,B+,14,3,3,1,39,33,20,Oui,H,61,56 - 65,Non,32,-16.39298423,-1.730606707,-0.843887538,-46.69242759,-1.773921201,2.805970149,0.833688699,22.86487368,23.27431974,10.35239098,20.02076012,-2.130997054,0.236909605
SODEXO,0,1763,D,52,1,1,1,68,50,54,Oui,F,59,56 - 65,Non,1787,-6.426984234,1.069393293,-0.476887538,-84.76142759,-1.773921201,-3.194029851,-4.166311301,22.86487368,32.87931974,8.715390977,19.28376012,-2.130997054,0.161909605
SODIFRANCE,0,10,D,2,1,1,1,35,19,24,Non,H,65,56 - 65,Non,2,-11.99198423,-1.032606707,-0.881887538,-100.3014276,0.226078799,-3.194029851,-4.166311301,22.25887368,24.50731974,7.734390977,19.59076012,-2.130997054,0.393909605
SOGECLAIR,0,31,B+,24,2,2,1,28,24,11,Non,H,60,56 - 65,Oui,14,-17.13898423,-1.632606707,-0.964887538,-93.13442759,-0.773921201,-2.194029851,-2.166311301,20.13587368,22.53731974,8.242390977,18.94876012,-2.130997054,0.622909605
SOMFY SA,0,154,D,23,2,2,2,30,17,19,Non,H,43,36 - 45,Non,17,-9.579984234,1.116393293,1.038112462,-91.05942759,-1.773921201,2.805970149,0.833688699,30.92787368,32.77131974,17.87739098,27.78876012,-2.130997054,10.6139096
SOPRA STERIA GROUP,0,180,B+,64,7,3,5,41,34,23,Non,H,85,> 75,Non,34,-13.93198423,-1.236606707,-1.034887538,-55.11442759,-1.773921201,-3.194029851,-4.166311301,19.22187368,26.58931974,7.530390977,16.97176012,0.828002946,1.281909605
SQLI,0,27,B+,48,7,7,6,36,25,15,Non,H,53,46 - 55,Non,1,-7.630984234,-1.291606707,-0.688887538,-87.99542759,-0.773921201,-0.194029851,-0.166311301,19.35787368,19.19531974,7.855390977,16.11776012,-2.130997054,0.540909605
STEF,0,288,B+,24,3,0,3,51,32,33,Non,H,79,> 75,Oui,8,-17.25998423,-1.364606707,-1.056887538,-66.35442759,-0.773921201,0.805970149,-0.166311301,20.00287368,26.02831974,7.519390977,18.80176012,-2.130997054,-0.787090395
SUEZ,0,3371,B+,59,0,0,0,59,50,23,Oui,H,68,66 - 75,Non,255,-7.534984234,-2.169606707,-1.334887538,-95.78942759,-1.773921201,-3.194029851,-4.166311301,14.30987368,17.87131974,4.673390977,13.29376012,-1.658997054,0.793909605
SYNERGIE,0,57,D,20,1,1,1,28,25,13,Non,H,76,> 75,Non,35,-17.31798423,-0.941606707,-0.526887538,-93.63642759,-1.773921201,2.805970149,1.833688699,31.40487368,31.27031974,13.49739098,25.27176012,-2.130997054,-0.055090395
TARKETT,0,180,D,43,5,0,1,36,25,18,Non,H,52,46 - 55,Non,110,-12.37798423,-0.920606707,-0.602887538,-94.16442759,-1.773921201,-3.194029851,-1.166311301,19.04587368,24.53431974,9.662390977,17.09376012,-0.775997054,1.531909605
TELEPERFORMANCE SE,0,252,A+,85,0,0,0,53,30,26,Non,H,67,66 - 75,Oui,33,-5.374984234,-0.378606707,-0.505887538,-75.57642759,-1.773921201,-3.194029851,-4.166311301,15.10587368,21.71931974,7.702390977,14.39776012,-2.130997054,3.481909605
TELEVISION FRANCAISE 1,0,1454,B+,57,2,0,2,153,77,84,Oui,H,46,46 - 55,Non,11,21.88501577,-1.917606707,-0.989887538,-101.7134276,-2.773921201,0.805970149,0.833688699,10.06887368,8.790319737,2.959390977,11.46376012,-2.130997054,-2.827090395
TESSI,0,112,D,11,10,3,1,38,28,19,Non,F,53,46 - 55,Non,13,-14.41098423,-1.120606707,-0.891887538,-32.99142759,-1.773921201,-3.194029851,-0.166311301,21.70387368,26.37631974,8.526390977,19.13676012,-2.130997054,5.826909605
THALES,0,433,B+,47,3,3,1,83,43,69,Oui,H,50,46 - 55,Non,87,-10.64198423,0.774393293,-0.742887538,-85.90842759,-1.773921201,-3.194029851,-4.166311301,22.08887368,32.21431974,7.313390977,19.93776012,2.814002946,3.805909605
TIVOLY,0,13,D,4,3,3,3,37,31,21,Non,H,82,> 75,Oui,8,-21.96298423,-2.371606707,-1.267887538,-82.69142759,1.226078799,-1.194029851,-1.166311301,17.23887368,21.89731974,7.822390977,17.02276012,-2.130997054,1.692909605
TONNELLERIE FRANCOIS FRERES,0,60,B+,22,2,2,1,18,17,7,Non,F,53,46 - 55,Non,1,-9.630984234,-1.366606707,-0.332887538,-96.09542759,-1.773921201,2.805970149,2.833688699,21.59487368,21.04431974,11.83739098,18.66276012,-2.130997054,16.3699096
TOTAL SA,0,1840,A+,111,5,5,5,87,60,57,Oui,H,57,56 - 65,Non,205,-10.43598423,-2.015606707,-1.064887538,-69.15542759,-1.773921201,0.805970149,-0.166311301,11.48587368,13.17531974,4.822390977,12.23076012,-1.311997054,0.869909605
U10 CORP,0,14,D,5,1,1,1,9,5,5,Non,H,52,46 - 55,Oui,4,-16.84298423,-2.621606707,-1.280887538,-103.0554276,1.226078799,-0.194029851,-0.166311301,15.15187368,15.81631974,6.763390977,13.79476012,-2.130997054,0.558909605
UCAR,0,10,C+,9,2,2,2,24,16,11,Non,H,63,56 - 65,Oui,11,-3.091984234,-0.938606707,-0.385887538,-100.1894276,-0.773921201,2.805970149,2.833688699,18.79287368,17.96431974,7.985390977,15.97176012,-2.130997054,-1.040090395
UMANIS,0,24,D,9,3,2,1,28,19,15,Non,H,68,66 - 75,Non,22,-23.65898423,-0.940606707,-1.048887538,-106.9294276,1.226078799,-3.194029851,-4.166311301,29.44187368,46.66031974,11.49939098,28.66576012,-2.130997054,3.489909605
UNIBEL,0,84,C+,10,9,3,7,18,14,9,Non,H,55,46 - 55,Non,9,-10.92598423,-1.917606707,-1.005887538,599.9615724,-2.773921201,-3.194029851,-3.166311301,19.46287368,24.13831974,9.852390977,14.68376012,-1.504997054,5.381909605
UPERGY,0,13,D,9,4,4,2,18,13,9,Non,H,50,46 - 55,Oui,10,-0.262984234,-0.818606707,-0.569887538,-106.6134276,0.226078799,1.805970149,0.833688699,22.19087368,20.90531974,8.029390977,17.73476012,-2.130997054,-1.565090395
VALEO,0,346,A+,76,0,0,0,68,43,33,Oui,H,66,66 - 75,Non,240,-16.12498423,-0.243606707,-0.696887538,-90.63842759,-1.773921201,-3.194029851,-3.166311301,23.52487368,33.03431974,9.866390977,21.73976012,2.084002946,2.298909605
VEOLIA ENVIRONNEMENT,0,1617,A+,69,0,0,0,86,51,66,Oui,H,62,56 - 65,Non,407,0.051015766,-2.216606707,-1.364887538,-93.08442759,-1.773921201,-3.194029851,-4.166311301,12.69987368,13.72231974,3.496390977,12.66776012,-1.861997054,-1.934090395
VETOQUINOL S A,0,44,D,26,1,1,1,31,24,14,Oui,H,82,> 75,Non,25,-10.38598423,-1.534606707,-0.372887538,-82.20542759,-1.773921201,3.805970149,1.833688699,18.75587368,18.68731974,10.77839098,16.66276012,4.652002946,6.427909605
VICAT,0,140,C+,37,4,3,3,51,21,38,Oui,H,56,56 - 65,Oui,52,-10.58798423,-2.195606707,-1.057887538,-53.82542759,-2.773921201,-0.194029851,-0.166311301,14.49787368,15.48331974,6.611390977,13.42676012,-1.976997054,4.628909605
VIDELIO,0,29,D,6,12,4,0,27,24,15,Non,H,48,46 - 55,Non,5,4.297015766,-2.014606707,-1.301887538,-107.5714276,-1.773921201,-3.194029851,-3.166311301,15.18587368,14.00231974,3.662390977,13.41276012,-2.130997054,-3.621090395
VILMORIN & CIE,0,159,D,18,0,0,0,34,18,22,Non,H,61,56 - 65,Non,10,-3.861984234,-2.283606707,-1.184887538,-53.68542759,0.226078799,-3.194029851,-3.166311301,13.51387368,13.59431974,4.987390977,13.23876012,0.742002946,2.386909605
VRANKEN-POMMERY MONOPOLE,0,33,D,7,1,1,1,36,19,23,Oui,H,73,66 - 75,Oui,30,8.792015766,-2.701606707,-1.446887538,-67.31742759,-0.773921201,-3.194029851,-1.166311301,9.285873684,7.296319737,2.060390977,10.73676012,-2.130997054,-3.270090395
WAVESTONE,0,23,B+,25,3,3,1,26,17,14,Oui,F,57,56 - 65,Non,6,-8.142984234,0.945393293,-0.296887538,-103.6004276,-0.773921201,-3.194029851,-4.166311301,24.84887368,37.95131974,11.65439098,19.69876012,-2.130997054,5.057909605
WE CONNECT,0,8,D,12,2,2,1,11,3,11,Non,H,48,46 - 55,Oui,12,-23.00398423,-1.747606707,-1.134887538,-103.1574276,1.226078799,0.805970149,-1.166311301,20.54687368,28.48331974,8.753390977,21.73076012,-2.130997054,-0.153090395
WEDIA,0,7,D,7,0,0,0,13,10,4,Non,H,50,46 - 55,Non,3,3.229015766,-2.127606707,-0.946887538,-96.28342759,-0.773921201,-1.194029851,-2.166311301,12.09487368,10.98231974,4.590390977,12.24576012,-2.130997054,0.210909605
